month,department,headcount,with_license,adoption_pct
2026-03,Executive,5,5,100.0
2026-03,Cloud,17,12,70.59
2026-03,Technology,2,2,100.0
2026-03,Business Enablement Operations,11,4,36.36
2026-03,Halo,16,9,56.25
2026-03,Sales,11,10,90.91
2026-03,Managed Operations,19,9,47.37
2026-03,RegTech,25,10,40.0
2026-03,Intelligent Data,15,11,73.33
2026-03,Code,43,30,69.77
2026-03,Project Management Office,7,4,57.14
2026-03,Payments,6,3,50.0
2026-03,Cryptography,3,0,0.0
2026-03,Finance,5,4,80.0
2026-03,Human Resources,2,1,50.0
2026-04,Executive,5,5,100.0
2026-04,Cloud,17,12,70.59
2026-04,Technology,2,2,100.0
2026-04,Business Enablement Operations,11,5,45.45
2026-04,Halo,16,11,68.75
2026-04,Sales,11,10,90.91
2026-04,Managed Operations,19,11,57.89
2026-04,RegTech,25,18,72.0
2026-04,Intelligent Data,15,14,93.33
2026-04,Code,43,34,79.07
2026-04,Project Management Office,7,4,57.14
2026-04,Payments,6,3,50.0
2026-04,Cryptography,3,1,33.33
2026-04,Finance,5,4,80.0
2026-04,Human Resources,2,1,50.0
2026-04-final,Halo,20,11,55.0
2026-04-final,Sales,11,11,100.0
2026-04-final,Business Enablement & Operations,8,6,75.0
2026-04-final,Cloud,30,15,50.0
2026-04-final,Technology,4,3,75.0
2026-04-final,Regtech,24,15,62.5
2026-04-final,Managed Operations,23,11,47.83
2026-04-final,Marketing,1,0,0.0
2026-04-final,Intelligent Data,17,14,82.35
2026-04-final,PMO,8,5,62.5
2026-04-final,Code,48,33,68.75
2026-04-final,Payment Centre of Excellence,8,3,37.5
2026-04-final,Cryptography,3,1,33.33
2026-04-final,Product Incubation,2,2,100.0
2026-04-final,Finance,5,5,100.0
2026-04-final,Product Development Services,1,1,100.0
2026-04-final,Executive,1,1,100.0
2026-04-final,Professional services,3,2,66.67
2026-04-final,Human Resources,2,1,50.0
2026-04-final,Professional Services,5,3,60.0
2026-04-final,Araxi,3,2,66.67
2026-05,Executive,5,5,100.0
2026-05,Cloud,19,13,68.42
2026-05,Technology,3,2,66.67
2026-05,Business Enablement Operations,11,6,54.55
2026-05,Halo,16,12,75.0
2026-05,Managed Operations,20,12,60.0
2026-05,RegTech,22,19,86.36
2026-05,Intelligent Data,15,15,100.0
2026-05,Code,46,35,76.09
2026-05,Project Management Office,7,4,57.14
2026-05,Payments,6,3,50.0
2026-05,Sales,9,9,100.0
2026-05,Cryptography,4,1,25.0
2026-05,Finance,5,4,80.0
2026-05,Product Incubation,1,1,100.0
2026-05,Human Resources,2,1,50.0
2026-05,Product,1,1,100.0
